fecha_hora,temperatura_C,humedad_%,lluvia_V
08/09/2026 11:27,30.8,71,0
08/09/2026 11:27,30.8,71,0
08/09/2026 11:27,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:28,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:29,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0.05
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0.14
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.8,71,0
08/09/2026 11:30,30.9,71,0
08/09/2026 11:30,31,71,0
08/09/2026 11:30,31,71,0
08/09/2026 11:30,31,71,0
08/09/2026 11:30,31,71,0
08/09/2026 11:31,31,71,0
08/09/2026 11:31,31,71,0
08/09/2026 11:31,31.1,71,0
08/09/2026 11:31,31.1,71,0
08/09/2026 11:31,31.1,71,0
08/09/2026 11:31,31.1,71,0
08/09/2026 11:31,31.1,71,0
08/09/2026 11:31,31.2,71,0
